,0
Initial Capital,10000.0
Final Equity,33000.991836306974
CAGR,0.12103202760006959
Sharpe,0.6762710922701569
Sortino,0.7705457342700079
Max Drawdown,-0.2909354176043092
Calmar,0.41600994680091136
Buy&Hold Final,82800.89985051788
Trades,62.0
Avg Daily Turnover,0.023574144486692015
Avg Daily Exposure,0.6250950570342205
