Price,Open,High,Low,Close,Volume,SMA_20,SMA_50,signal,trade,signal_exec,trade_exec,ret,cost,strat_ret_gross,strat_ret,equity,bh_equity,turnover,exposure
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2015-03-16,27.598277610489713,27.836654663085938,27.3732686550269,27.836654663085938,143497200,28.451759147644044,26.612772674560546,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0
2015-03-17,28.048301028043767,28.36465158895827,27.992605434937918,28.30227279663086,204092400,28.442959213256835,26.69359718322754,1,0.0,1.0,0.0,0.0167267992214013,0.0,0.0167267992214013,0.0167267992214013,10167.267992214012,10167.267992214012,0.0,1.0
2015-03-18,28.293359273393268,28.774569979250792,28.153007000698736,28.620849609375,261083600,28.440174674987794,26.794462661743164,1,0.0,1.0,0.0,0.011256227195367341,0.0,0.011256227195367341,0.011256227195367341,10281.713070690561,10281.713070690561,0.0,1.0
2015-03-19,28.683226847181135,28.794618019403195,28.382471022120445,28.404748916625977,183238000,28.429592323303222,26.890961685180663,1,0.0,1.0,0.0,-0.0075504639344542435,0.0,-0.0075504639344542435,-0.0075504639344542435,10204.081366965906,10204.081366965906,0.0,1.0
2015-03-20,28.571828286813115,28.60524427008346,27.883431836340662,28.048290252685547,274780400,28.38949098587036,26.973718795776367,1,0.0,1.0,0.0,-0.012549262976649156,0.0,-0.012549262976649156,-0.012549262976649156,10076.027666456725,10076.027666456725,0.0,1.0
2015-03-23,28.320097419617298,28.482727608990597,28.186426628736324,28.340147018432617,150838800,28.324995708465575,27.04393928527832,1,0.0,1.0,0.0,0.010405510037073462,0.0,0.010405510037073462,0.010405510037073462,10180.87387347387,10180.87387347387,0.0,1.0
2015-03-24,28.344601158711114,28.525052631476665,28.195335681803996,28.22429847717285,131369200,28.263953113555907,27.11131004333496,1,0.0,1.0,0.0,-0.004087789000685738,0.0,-0.004087789000685738,-0.004087789000685738,10139.256609236516,10139.256609236516,0.0,1.0
2015-03-25,28.190885920540584,28.253264722405127,27.486892700195312,27.486892700195312,206620800,28.203690624237062,27.1761820602417,1,0.0,1.0,0.0,-0.026126629066580143,0.0,-0.026126629066580143,-0.026126629066580143,9874.352012796122,9874.352012796122,0.0,1.0
2015-03-26,27.348765089377032,27.821062641035965,27.31311909318673,27.678482055664062,190291600,28.13485097885132,27.240580711364746,1,0.0,1.0,0.0,0.006970207857194044,0.0,0.006970207857194044,0.006970207857194044,9943.178298780413,9943.178298780413,0.0,1.0
2015-03-27,27.75200037071014,27.780961467554363,27.382182512251926,27.457927703857422,158184800,28.0768159866333,27.302432441711424,1,0.0,1.0,0.0,-0.007968441020829276,0.0,-0.007968441020829276,-0.007968441020829276,9863.946668946992,9863.946668946992,0.0,1.0
2015-03-30,27.636154371301487,28.159692613989286,27.62501457264434,28.15300941467285,188398800,28.046517753601073,27.391411437988282,1,0.0,1.0,0.0,0.025314427159693453,0.0,0.025314427159693453,0.025314427159693453,10113.646828405152,10113.646828405152,0.0,1.0
2015-03-31,28.090623915549788,28.179737189841585,27.70521142630218,27.720806121826172,168362400,27.991601943969727,27.475430030822753,1,0.0,1.0,0.0,-0.01535193934263468,0.0,-0.01535193934263468,-0.01535193934263468,9958.382735762647,9958.382735762647,0.0,1.0
2015-04-01,27.80769572346012,27.874531115222556,27.42450977003734,27.680709838867188,162485600,27.94381513595581,27.546530570983887,1,0.0,1.0,0.0,-0.001446432790690566,0.0,-0.001446432790690566,-0.001446432790690566,9943.978604431393,9943.978604431393,0.0,1.0
2015-04-02,27.85447555936038,27.972549927020538,27.667339210546782,27.919082641601562,128880400,27.93167314529419,27.618714866638182,1,0.0,1.0,0.0,0.008611513365154755,0.0,0.008611513365154755,0.008611513365154755,10029.611309086265,10029.611309086265,0.0,1.0
2015-04-06,27.729719607131596,28.40697816072897,27.69853021384769,28.3713321685791,148776000,27.940027236938477,27.687295455932617,1,0.0,1.0,0.0,0.016198581192049977,0.0,0.016198581192049977,0.016198581192049977,10192.076782201202,10192.076782201202,0.0,1.0
2015-04-07,28.435941968297502,28.542876555563243,28.066124112769437,28.07280731201172,140049200,27.927440071105956,27.74733139038086,1,0.0,1.0,0.0,-0.01052205990164945,0.0,-0.01052205990164945,-0.01052205990164945,10084.835139776671,10084.835139776671,0.0,1.0
2015-04-08,28.037165710038536,28.15969671433038,27.841117802866478,27.981470108032227,149316800,27.939581680297852,27.805008087158203,1,0.0,1.0,0.0,-0.0032535828342472595,0.0,-0.0032535828342472595,-0.0032535828342472595,10052.023293279679,10052.023293279679,0.0,1.0
2015-04-09,28.037165803965053,28.199797710234062,27.772055893319394,28.195341110229492,129936000,27.9877028465271,27.88453727722168,1,0.0,1.0,0.0,0.007643308281213956,0.0,0.007643308281213956,0.007643308281213956,10128.85400616016,10128.85400616016,0.0,1.0
2015-04-10,28.059435644720505,28.34014187505331,27.905716982616923,28.315635681152344,160752000,28.017221450805664,27.939089050292967,1,0.0,1.0,0.0,0.004266469784939275,0.0,0.004266469784939275,0.004266469784939275,10172.068455733503,10172.068455733503,0.0,1.0
2015-04-13,28.59856759912117,28.643126786166484,28.20647190859878,28.259939193725586,145460400,28.05353488922119,27.97659393310547,1,0.0,1.0,0.0,-0.0019669870051277627,0.0,-0.0019669870051277627,-0.0019669870051277627,10152.060129265805,10152.060129265805,0.0,1.0
2015-04-14,28.293361916479697,28.35796900985864,28.050529941081454,28.137414932250977,102098400,28.068572902679442,28.019370765686034,1,0.0,1.0,0.0,-0.004335616599692171,0.0,-0.004335616599692171,-0.004335616599692171,10108.044688848287,10108.044688848287,0.0,1.0
2015-04-15,28.16192203889392,28.322323927981227,28.072808745160057,28.24435043334961,115881600,28.065676784515382,28.057762298583985,1,0.0,1.0,0.0,0.003800473545850336,0.0,0.003800473545850336,0.003800473545850336,10146.460045288528,10146.460045288528,0.0,1.0
2015-04-16,28.13295422246197,28.315635677165186,28.095081631781955,28.108448028564453,113476000,28.040056705474854,28.093346824645995,0,-1.0,1.0,0.0,-0.004811666853725471,0.0,-0.004811666853725471,-0.004811666853725471,10097.638659805963,10097.638659805963,0.0,1.0
2015-04-17,27.970325564265714,28.10176633886866,27.727491911615477,27.792098999023438,207828000,28.009424209594727,28.118565826416017,0,0.0,0.0,-1.0,-0.01125458898404974,0.0,-0.0,-0.0,10097.638659805963,9983.993886980395,1.0,0.0
2015-04-20,27.97478073938513,28.542874734769516,27.885667455885272,28.42702865600586,188217200,28.028361129760743,28.152695999145507,0,0.0,0.0,0.0,0.022845689237244393,0.0,0.0,0.0,10097.638659805963,10212.085108668898,0.0,0.0
2015-04-21,28.53842510651159,28.560701305556105,28.219844525731023,28.273313522338867,129740400,28.025019454956055,28.188252029418944,0,0.0,0.0,0.0,-0.0054073584519540585,0.0,-0.0,-0.0,10097.638659805963,10156.864703944464,0.0,0.0
2015-04-22,28.29113171868433,28.709961948008925,28.14186794383772,28.654266357421875,150618000,28.046517848968506,28.227907218933105,0,0.0,0.0,0.0,0.013473936642835138,0.0,0.0,0.0,10097.638659805963,10293.717655455259,0.0,0.0
2015-04-23,28.582978558751968,29.055276092172793,28.547332563938166,28.8881893157959,183083600,28.116582679748536,28.261992950439453,0,0.0,0.0,0.0,0.008163634533725705,0.0,0.0,0.0,10097.638659805963,10377.751804387755,0.0,0.0
2015-04-24,29.07086796968031,29.102057360445713,28.790160053403067,29.02408218383789,178103600,28.183862686157227,28.286053276062013,0,0.0,0.0,0.0,0.004704097808154728,0.0,0.0,0.0,10097.638659805963,10426.56976390435,0.0,0.0
2015-04-27,29.476321646910492,29.659004740308557,29.217893397444403,29.552066802978516,387816800,28.28856964111328,28.313633422851563,0,0.0,0.0,0.0,0.01819125978890157,0.0,0.0,0.0,10097.638659805963,10616.242203186639,0.0,0.0
2015-04-28,29.955326980048607,29.9731465829535,28.865921035269267,29.08647346496582,475696000,28.33524284362793,28.32913917541504,1,1.0,0.0,0.0,-0.01575501778324917,0.0,-0.0,-0.0,10097.638659805963,10448.983118484151,0.0,0.0
2015-04-29,28.997355913995918,29.315933091372774,28.582980543827464,28.65872573852539,253544400,28.382138824462892,28.332748260498047,1,0.0,1.0,1.0,-0.014706070399206128,0.0,-0.014706070399206128,-0.014706070399206128,9949.142074809111,10295.319637143608,1.0,1.0
2015-04-30,28.658724142708316,28.658724142708316,27.754228258038946,27.881214141845703,332781600,28.392164039611817,28.316841735839844,1,0.0,1.0,0.0,-0.027130012819603255,0.0,-0.027130012819603255,-0.027130012819603255,9679.221722775485,10016.007483405989,0.0,1.0
2015-05-01,28.09285757925445,28.990671992044348,27.914632696332507,28.727787017822266,234050400,28.43259925842285,28.31906955718994,1,0.0,1.0,0.0,0.030363558475955177,0.0,0.030363558475955177,0.030363558475955177,9973.117337556714,10320.12911232399,0.0,1.0
2015-05-04,28.85031326905277,29.088692006534558,28.574061941383814,28.672086715698242,203953200,28.447636985778807,28.315504951477052,1,0.0,1.0,0.0,-0.0019388998564165982,0.0,-0.0019388998564165982,-0.0019388998564165982,9953.780461782899,10300.119415469904,0.0,1.0
2015-05-05,28.54956235699764,28.616397754901502,28.021569172397257,28.026025772094727,197085600,28.44529790878296,28.283424415588378,1,0.0,1.0,0.0,-0.02253274936036631,0.0,-0.02253274936036631,-0.02253274936036631,9729.494421449434,10068.029406299276,0.0,1.0
